R_fighter,B_fighter,R_prob,B_prob
Derrick Lewis,Aleksei Oleinik,0.9316,0.0684
Omari Akhmedov,Chris Weidman,0.696,0.304
Maki Pitolo,Darren Stewart,0.5696,0.4304
Yana Kunitskaya,Julija Stoliarenko,0.8432,0.1568
Beneil Dariush,Scott Holtzman,0.7012,0.2988
Tim Means,Laureano Staropoli,0.5371,0.4629
Kevin Holland,Joaquin Buckley,0.8863,0.1137
Nasrat Haqparast,Alex Munoz,0.6193,0.3807
Andrew Sanchez,Wellington Turman,0.5603,0.4397
Gavin Tucker,Justin Jaynes,0.8097,0.1903
Youssef Zalal,Peter Barrett,0.8306,0.1694
Irwin Rivera,Ali Qaisi,0.7635,0.2365
